번호,카테고리,한국어,영어,태국어(남성형),태국어(여성형),로마자,수정 제안,비고
164,부동산,관리비가 포함되어 있습니까?,Is the maintenance fee included?,รวมค่าส่วนกลางไหมครับ,รวมค่าส่วนกลางไหมคะ,ruam khaa suan-glaang mai khrab,,신규(검수 필요)
165,부동산,방을 보고 싶습니다.,I'd like to see the room.,ผมขอดูห้องหน่อยครับ,ฉันขอดูห้องหน่อยค่ะ,phom khor duu hong noi khrab,,신규(검수 필요)
166,부동산,언제 입주할 수 있습니까?,When can I move in?,เข้าอยู่ได้เมื่อไหร่ครับ,เข้าอยู่ได้เมื่อไหร่คะ,khao yuu dai muea-rai khrab,,신규(검수 필요)
167,부동산,계약 기간은 얼마나 됩니까?,How long is the contract?,สัญญากี่ปีครับ,สัญญากี่ปีคะ,san-yaa gee pee khrab,,신규(검수 필요)
168,부동산,가구가 포함되어 있습니까?,Is it furnished?,มีเฟอร์นิเจอร์ไหมครับ,มีเฟอร์นิเจอร์ไหมคะ,mee fer-ni-jer mai khrab,,신규(검수 필요)
169,부동산,지하철역에서 가깝습니까?,Is it close to the subway station?,ใกล้สถานีรถไฟฟ้าไหมครับ,ใกล้สถานีรถไฟฟ้าไหมคะ,glai sa-thaa-nee rot-fai-faa mai khrab,,신규(검수 필요)
170,부동산,계약서를 천천히 읽고 싶습니다.,I want to read the contract slowly.,ผมขออ่านสัญญาช้า ๆ ครับ,ฉันขออ่านสัญญาช้า ๆ ค่ะ,phom khor aan san-yaa chaa chaa khrab,,신규(검수 필요)
171,직장,잘 부탁드립니다.,I look forward to working with you.,ฝากเนื้อฝากตัวด้วยครับ,ฝากเนื้อฝากตัวด้วยค่ะ,faak nuea faak tua duay khrab,,신규(검수 필요)
172,직장,회의는 몇 시입니까?,What time is the meeting?,ประชุมกี่โมงครับ,ประชุมกี่โมงคะ,pra-chum gee mohng khrab,,신규(검수 필요)
173,직장,잠시 쉬어도 됩니까?,May I take a short break?,ขอพักสักครู่ได้ไหมครับ,ขอพักสักครู่ได้ไหมคะ,khor phak sak khruu dai mai khrab,,신규(검수 필요)
174,직장,이것을 도와주시겠어요?,Could you help me with this?,ช่วยผมหน่อยได้ไหมครับ,ช่วยฉันหน่อยได้ไหมคะ,chuay phom noi dai mai khrab,,신규(검수 필요)
175,직장,언제까지 끝내야 합니까?,When is the deadline?,ต้องเสร็จเมื่อไหร่ครับ,ต้องเสร็จเมื่อไหร่คะ,tong set muea-rai khrab,,신규(검수 필요)
176,직장,다시 설명해 주시겠어요?,Could you explain it again?,ช่วยอธิบายอีกครั้งได้ไหมครับ,ช่วยอธิบายอีกครั้งได้ไหมคะ,chuay a-thi-baai eek khrang dai mai khrab,,신규(검수 필요)
177,직장,알겠습니다. 바로 하겠습니다.,Understood. I'll do it right away.,เข้าใจแล้วครับ จะทำเลยครับ,เข้าใจแล้วค่ะ จะทำเลยค่ะ,"khao jai laeo khrab, ja tham loei khrab",,신규(검수 필요)
178,직장,오늘 야근합니까?,Are we working overtime today?,วันนี้ทำโอทีไหมครับ,วันนี้ทำโอทีไหมคะ,wan nee tham oh-thee mai khrab,,신규(검수 필요)
179,직장,월급날은 언제입니까?,When is payday?,เงินเดือนออกวันไหนครับ,เงินเดือนออกวันไหนคะ,ngern duean ork wan nai khrab,,신규(검수 필요)
180,직장,휴가를 내고 싶습니다.,I'd like to take a day off.,ผมอยากลาหยุดครับ,ฉันอยากลาหยุดค่ะ,phom yaak laa yut khrab,,신규(검수 필요)
181,도움,응급 상황입니다.,It's an emergency.,เป็นเหตุฉุกเฉินครับ,เป็นเหตุฉุกเฉินค่ะ,pen het chuk-chern khrab,,신규(검수 필요)
182,도움,구급차를 불러 주세요.,Please call an ambulance.,ช่วยเรียกรถพยาบาลให้หน่อยครับ,ช่วยเรียกรถพยาบาลให้หน่อยค่ะ,chuay riak rot pha-yaa-baan hai noi khrab,,신규(검수 필요)
183,도움,불이 났습니다.,There is a fire.,ไฟไหม้ครับ,ไฟไหม้ค่ะ,fai mai khrab,,신규(검수 필요)
184,도움,여권을 잃어버렸습니다.,I lost my passport.,ผมทำพาสปอร์ตหายครับ,ฉันทำพาสปอร์ตหายค่ะ,phom tham phaat-sa-port haai khrab,,신규(검수 필요)
185,도움,도둑맞았습니다.,I was robbed.,ผมโดนขโมยของครับ,ฉันโดนขโมยของค่ะ,phom dohn kha-moy khong khrab,,신규(검수 필요)
186,도움,대사관에 연락하고 싶습니다.,I want to contact my embassy.,ผมอยากติดต่อสถานทูตครับ,ฉันอยากติดต่อสถานทูตค่ะ,phom yaak tit-tor sa-thaan-thuut khrab,,신규(검수 필요)
187,도움,한국어 통역이 필요합니다.,I need a Korean interpreter.,ผมต้องการล่ามภาษาเกาหลีครับ,ฉันต้องการล่ามภาษาเกาหลีค่ะ,phom tong-gaan laam phaa-saa gao-lee khrab,,신규(검수 필요)
188,도움,여기가 안전합니까?,Is it safe here?,ที่นี่ปลอดภัยไหมครับ,ที่นี่ปลอดภัยไหมคะ,thee nee plort-phai mai khrab,,신규(검수 필요)
189,도움,경찰서는 어디입니까?,Where is the police station?,สถานีตำรวจอยู่ที่ไหนครับ,สถานีตำรวจอยู่ที่ไหนคะ,sa-thaa-nee tam-ruat yuu thee nai khrab,,신규(검수 필요)
190,도움,분실물 센터는 어디입니까?,Where is the lost and found?,ศูนย์ของหายอยู่ที่ไหนครับ,ศูนย์ของหายอยู่ที่ไหนคะ,suun khong haai yuu thee nai khrab,,신규(검수 필요)
191,일상,주말에 무엇을 하세요?,What do you do on weekends?,วันหยุดสุดสัปดาห์ทำอะไรครับ,วันหยุดสุดสัปดาห์ทำอะไรคะ,wan yut sut sap-daa tham a-rai khrab,,신규(검수 필요)
192,일상,취미가 무엇입니까?,What are your hobbies?,งานอดิเรกคืออะไรครับ,งานอดิเรกคืออะไรคะ,ngaan a-di-rek khue a-rai khrab,,신규(검수 필요)
193,일상,한국 음식을 좋아합니까?,Do you like Korean food?,ชอบอาหารเกาหลีไหมครับ,ชอบอาหารเกาหลีไหมคะ,chop aa-haan gao-lee mai khrab,,신규(검수 필요)
194,일상,가장 좋아하는 음식은 무엇입니까?,What is your favorite food?,อาหารที่ชอบที่สุดคืออะไรครับ,อาหารที่ชอบที่สุดคืออะไรคะ,aa-haan thee chop thee-sut khue a-rai khrab,,신규(검수 필요)
195,일상,한국은 처음입니까?,Is this your first time in Korea?,มาเกาหลีครั้งแรกหรือครับ,มาเกาหลีครั้งแรกหรือคะ,maa gao-lee khrang raek rue khrab,,신규(검수 필요)
196,일상,사진 찍어 드릴까요?,Shall I take a photo for you?,ให้ผมถ่ายรูปให้ไหมครับ,ให้ฉันถ่ายรูปให้ไหมคะ,hai phom thaai ruup hai mai khrab,,신규(검수 필요)
197,일상,연락처를 교환합시다.,Let's exchange contact information.,แลกเบอร์กันเถอะครับ,แลกเบอร์กันเถอะค่ะ,laek ber gan thuh khrab,,신규(검수 필요)
198,일상,다음에 같이 식사해요.,Let's eat together next time.,ไว้ไปกินข้าวด้วยกันนะครับ,ไว้ไปกินข้าวด้วยกันนะค่ะ,wai pai gin khaao duay gan na khrab,,신규(검수 필요)
199,일상,한국 생활은 어떻습니까?,How is life in Korea?,ชีวิตที่เกาหลีเป็นยังไงบ้างครับ,ชีวิตที่เกาหลีเป็นยังไงบ้างคะ,chee-wit thee gao-lee pen yang-ngai baang khrab,,신규(검수 필요)
200,일상,만나서 즐거웠습니다.,It was nice meeting you.,ยินดีที่ได้เจอกันครับ,ยินดีที่ได้เจอกันค่ะ,yin-dee thee dai jer gan khrab,,신규(검수 필요)
